Date,Open,High,Low,Close,Volume,Adj Close,Daily Ret,Log Ret,Avg. OHLC,VolumeXClose,13-VWAP,20-VWAP,Change in ROI for Adj Close,Positive/Negative,SMA-20,SMA,BB-Upper,BB-Lower,EMA,,,,,,,Variable Name,Value
1/3/2011,35.330002,35.549999,35.049999,35.389999,1718200,30.336245,#VALUE!,#VALUE!,35.33,60807096.28,35.39,35.39,,,,,,,30.34,,,,,,,PERIOD,14
1/4/2011,35.5,35.560001,35.029999,35.5,2035000,30.430537,0.003108229,0.001347793,35.4,72242500,35.45,35.45,0.003108229,Positive,,,,,30.52,,,,,,,Std devs,2
1/5/2011,35.380001,36.439999,35.259998,36.25,3159600,31.073436,0.021126771,0.009079662,35.83,114535500,35.82,35.82,0.021126771,Positive,,,,,31.62,,,,,,,,
1/6/2011,36.09,36.720001,36.07,36.580002,2351100,31.356313,0.009103499,0.003935712,36.37,86003242.7,36.01,36.01,0.009103499,Positive,,,,,31.09,,,,,,,,
1/7/2011,36.400002,36.529999,35.310001,35.439999,3353000,30.379104,-0.031164665,-0.01375003,35.92,118830316.7,35.86,35.86,-0.031164665,Negative,,,,,29.67,,,,,,,,
1/10/2011,35.27,35.540001,35,35.080002,2575200,30.070516,-0.010157903,-0.00443408,35.22,90338021.15,35.73,35.73,-0.010157903,Negative,,,,,30.47,,,,,,,,
1/11/2011,35.150002,35.75,35.02,35.630001,2662900,30.541974,0.015678414,0.006756223,35.39,94879129.66,35.71,35.71,0.015678414,Positive,,,,,30.61,,,,,,,,
1/12/2011,35.75,36.200001,35.43,35.860001,2268900,30.739129,0.006455215,0.002794454,35.81,81362756.27,35.73,35.73,0.006455215,Positive,,,,,30.87,,,,,,,,
1/13/2011,35.799999,36.099998,35.549999,35.75,1417700,30.644837,-0.003067491,-0.001334242,35.8,50682775,35.73,35.73,-0.003067491,Negative,,,,,30.42,,,,,,,,
1/14/2011,35.610001,35.73,35.32,35.549999,976200,30.473397,-0.005594417,-0.002436446,35.55,34703909.02,35.72,35.72,-0.005594417,Negative,,,,,30.52,,,,,,,,
1/18/2011,35.52,35.669998,35.34,35.34,1249600,30.293386,-0.005907152,-0.002573051,35.47,44160864,35.7,35.7,-0.005907152,Negative,,,,,30.06,,,,,,,,
1/19/2011,35.48,35.549999,34.959999,35.380001,1650200,30.327675,0.001131897,0.000491299,35.34,58384077.65,35.68,35.68,0.001131897,Positive,,,,,30.59,,,,,,,,
1/20/2011,35.259998,35.459999,35,35.02,1851100,30.019083,-0.010175261,-0.004441696,35.18,64825522,35.64,35.64,-0.010175261,Negative,,33.16,33.47,32.53,29.44,,,,,,,,
1/21/2011,35.209999,35.369999,34.880001,35.18,2149400,30.156234,0.004568794,0.001979683,35.16,75615892,35.62,35.6,0.004568794,Positive,,35.7,36.01,35.07,30.87,,,,,,,,
