Date,Open,High,Low,Close,Volume,Adj Close,Daily Ret,Log Ret,Avg. OHLC,VolumeXClose,13-VWAP,20-VWAP,Change in ROI for Adj Close,Positive/Negative,SMA-20,SMA,BB-Upper,BB-Lower,EMA,,,,,,,Variable Name,Value
1/3/2011,65.879997,65.879997,65.110001,65.220001,18945600,27.939948,#VALUE!,#VALUE!,65.52,1235632051,65.22,65.22,,,,#REF!,#REF!,#REF!,27.94,,,,,,,PERIOD,14.00
1/4/2011,65.019997,65.190002,63.810001,63.869999,27940400,27.361613,-0.020699215,-0.009083898,64.47,1784553320,64.42,64.42,-0.020699215,Negative,,#REF!,#REF!,#REF!,26.78,,,,,,,Std devs,2.00
1/5/2011,63.790001,63.950001,62.860001,63.490002,34379000,27.198824,-0.00594954,-0.002591569,63.52,2182722779,64.02,64.02,-0.00594954,Negative,,#REF!,#REF!,#REF!,27.61,,,,,,,,
1/6/2011,63.619999,63.66,62.830002,63.029999,21712400,27.001761,-0.007245276,-0.003158038,63.29,1368532550,63.81,63.81,-0.007245276,Negative,,#REF!,#REF!,#REF!,26.39,,,,,,,,
1/7/2011,62.779999,63,62.560001,62.919998,16592800,26.954637,-0.00174522,-0.000758601,62.81,1044018943,63.69,63.69,-0.00174522,Negative,,#REF!,#REF!,#REF!,27.52,,,,,,,,
1/10/2011,62.700001,63.200001,62.560001,63.060001,14904600,27.014614,0.002225109,0.000965279,62.88,939884090.9,63.62,63.62,0.002225109,Positive,,#REF!,#REF!,#REF!,26.51,,,,,,,,
1/11/2011,63.34,63.419998,62.669998,62.689999,15504000,26.856106,-0.005867491,-0.002555724,63.03,971945744.5,63.52,63.52,-0.005867491,Negative,,#REF!,#REF!,#REF!,27.20,,,,,,,,
1/12/2011,63.209999,63.360001,62.700001,63.040001,14223200,27.006046,0.005583088,0.002417961,63.08,896630542.2,63.48,63.48,0.005583088,Positive,,#REF!,#REF!,#REF!,26.81,,,,,,,,
1/13/2011,63.25,63.860001,63.130001,63.400002,17947600,27.160268,0.005710647,0.002473048,63.41,1137877876,63.47,63.47,0.005710647,Positive,,#REF!,#REF!,#REF!,27.51,,,,,,,,
1/14/2011,63.369999,63.369999,62.98,63.130001,12631400,27.044601,-0.004258684,-0.001853472,63.21,797420294.6,63.45,63.45,-0.004258684,Negative,,#REF!,#REF!,#REF!,26.58,,,,,,,,
1/18/2011,63.209999,63.740002,63.169998,63.48,16344000,27.194539,0.005544101,0.002401123,63.4,1037517120,63.45,63.45,0.005544101,Positive,,#REF!,#REF!,#REF!,27.81,,,,,,,,
1/19/2011,63.68,63.919998,63.189999,63.419998,18326800,27.168835,-0.00094519,-0.000410685,63.55,1162285619,63.45,63.45,-0.00094519,Negative,,#REF!,#REF!,#REF!,26.53,,,,,,,,
1/20/2011,63.619999,63.880001,62.75,62.93,20580000,26.958922,-0.007726242,-0.003368494,63.3,1295099400,63.41,63.41,-0.007726242,Negative,,59.22,60.26,57.83,27.39,,,,,,,,
1/21/2011,63.18,63.200001,62.720001,62.77,16708200,26.890379,-0.002542498,-0.001105599,62.97,1048773714,63.23,63.37,-0.002542498,Negative,,63.74,64.77,62.40,26.39,,,,,,,,
1/24/2011,62.869999,63.27,62.68,63.25,15062800,27.096008,0.007646936,0.003308389,63.02,952722100,63.15,63.36,0.007646936,Positive,,63.61,64.20,62.93,27.80,,,,,,,,
1/25/2011,63.220001,63.310001,62.540001,62.959999,18195800,26.971773,-0.004584993,-0.001995816,63.01,1145607550,63.08,63.34,-0.004584993,Negative,,63.53,63.92,63.08,26.14,,,,,,,,
1/26/2011,63.169998,63.290001,62.860001,62.959999,13657000,26.971773,0,0,63.07,859844706.3,63.08,63.32,0,Positive,,63.48,63.76,63.03,27.80,,,,,,,,
1/27/2011,63.189999,63.209999,62.639999,62.700001,13520400,26.860391,-0.004129577,-0.001797166,62.93,847729093.5,63.07,63.3,-0.004129577,Negative,,63.45,63.67,62.98,25.92,,,,,,,,
1/28/2011,62.849998,63.279999,62.139999,62.209999,23842400,26.650477,-0.007815002,-0.003407344,62.62,1483235680,62.97,63.22,-0.007815002,Negative,,63.41,63.62,62.84,27.38,,,,,,,,
1/31/2011,62.32,62.849998,61.889999,62.849998,15717800,26.92465,0.010287733,0.00444508,62.48,987863698.6,62.99,63.21,0.010287733,Positive,27.06,63.38,63.57,62.65,26.47,,,,,,,,
2/1/2011,62.880001,63.32,62.849998,63.049999,16028000,27.010329,0.003182177,0.001379808,63.02,1010565384,62.99,63.09,0.003182177,Positive,27.01,63.35,63.58,62.62,27.55,,,,,,,,
2/2/2011,63.150002,63.48,62.560001,62.860001,15595200,26.928935,-0.00301344,-0.001310696,63.01,980314287.6,62.94,63.02,-0.00301344,Negative,26.99,63.32,63.60,62.58,26.30,,,,,,,,
2/3/2011,62.700001,62.98,62.130001,62.57,12997400,26.804699,-0.004613476,-0.002008243,62.6,813247318,62.91,62.96,-0.004613476,Negative,26.97,63.28,63.60,62.52,27.31,,,,,,,,
2/4/2011,62.650002,62.860001,62.360001,62.560001,9374600,26.800416,-0.000159785,-6.94E-05,62.61,586474985.4,62.85,62.94,-0.000159785,Negative,26.96,63.25,63.60,62.49,26.29,,,,,,,,
2/7/2011,62.669998,62.669998,62.32,62.52,12012800,26.78328,-0.000639393,-0.000277774,62.54,751040256,62.78,62.92,-0.000639393,Negative,26.95,63.21,63.58,62.52,27.27,,,,,,,,
2/8/2011,62.43,62.919998,62.34,62.869999,13056800,26.933218,0.005598194,0.002424485,62.64,820881002.9,62.77,62.91,0.005598194,Positive,26.95,63.17,63.55,62.58,26.59,,,,,,,,
2/9/2011,64.099998,64.75,62.869999,63.150002,29979600,27.05317,0.004453682,0.001929915,63.72,1893211800,62.82,62.95,0.004453682,Positive,26.96,63.14,63.50,62.53,27.51,,,,,,,,
2/10/2011,63.16,63.540001,62.82,63.540001,18352400,27.220244,0.006175764,0.002673852,63.27,1166111514,62.86,62.98,0.006175764,Positive,26.97,63.11,63.46,62.48,26.93,,,,,,,,
2/11/2011,63.23,63.66,63.119999,63.57,19098000,27.233095,0.000472112,0.000204987,63.39,1214059860,62.91,62.99,0.000472112,Positive,26.97,63.08,63.40,62.38,27.54,,,,,,,,
2/14/2011,63.669998,63.75,63,63.139999,12122600,27.048885,-0.006764196,-0.002947634,63.39,765420951.9,62.92,62.99,-0.006764196,Negative,26.98,63.06,63.35,62.31,26.56,,,,,,,,
2/15/2011,62.91,63.220001,62.549999,63.189999,16289200,27.070304,0.000791863,0.000343765,62.97,1029314532,62.95,62.97,0.000791863,Positive,26.97,63.03,63.28,62.31,27.58,,,,,,,,
2/16/2011,63.080002,63.490002,62.880001,63.400002,12992800,27.160268,0.003323346,0.001440918,63.21,823743546,63.07,62.97,0.003323346,Positive,26.97,63.01,63.20,62.26,26.74,,,,,,,,
2/17/2011,63.380001,64.720001,63.27,64.550003,18450600,27.652924,0.018138849,0.007807009,63.98,1190986285,63.22,63.06,0.018138849,Positive,27.00,63.00,63.15,62.20,28.57,,,,,,,,
2/18/2011,64.599998,64.650002,64.120003,64.550003,24652400,27.652924,0,0,64.48,1591312494,63.38,63.18,0,Positive,27.04,63.00,63.14,61.98,26.74,,,,,,,,
2/22/2011,63.360001,64.269997,63.330002,63.759998,17950200,27.314489,-0.01223867,-0.00534798,63.68,1144504716,63.45,63.21,-0.01223867,Negative,27.05,63.00,63.18,61.95,27.89,,,,,,,,
2/23/2011,63.779999,64.339996,63.700001,63.91,18192200,27.378749,0.002352598,0.00102052,63.93,1162663502,63.54,63.26,0.002352598,Positive,27.07,63.02,63.25,61.89,26.87,,,,,,,,
2/24/2011,64.199997,64.370003,63.709999,63.880001,17057000,27.365898,-0.000469379,-0.000203896,64.04,1089601177,63.61,63.31,-0.000469379,Negative,27.09,63.05,63.32,61.94,27.86,,,,,,,,
2/25/2011,63.77,64.400002,63.709999,64.309998,11435400,27.550107,0.006731334,0.002913586,64.05,735410551.1,63.7,63.37,0.006731334,Positive,27.13,63.08,63.39,61.98,27.24,,,,,,,,
2/28/2011,64.169998,64.480003,63.860001,63.919998,19370000,27.383033,-0.006064368,-0.00264174,64.11,1238130361,63.76,63.48,-0.006064368,Negative,27.16,63.12,63.48,62.06,27.53,,,,,,,,
3/1/2011,64.279999,65.25,64.199997,64.910004,31084000,27.807146,0.015488167,0.006674867,64.66,2017662564,63.99,63.64,0.015488167,Positive,27.21,63.17,63.61,62.13,28.09,,,,,,,,
3/2/2011,64.589996,64.82,64.129997,64.43,20776000,27.601515,-0.007394898,-0.003223497,64.49,1338597680,64.06,63.71,-0.007394898,Negative,27.24,63.22,63.73,62.15,27.12,,,,,,,,
3/3/2011,64.790001,65.879997,64.779999,65.57,29005800,28.089886,0.01769363,0.007617056,65.25,1901910306,64.28,63.9,0.01769363,Positive,27.30,63.29,63.89,62.07,29.06,,,,,,,,
3/4/2011,65.389999,65.550003,64.769997,65.209999,23050800,27.935663,-0.005490339,-0.002390994,65.23,1503142645,64.41,64.02,-0.005490339,Negative,27.35,63.36,64.05,62.03,26.81,,,,,,,,
3/7/2011,65.32,65.739998,64.480003,65.220001,23630000,27.939948,0.000153388,6.66E-05,65.19,1541148624,64.56,64.13,0.000153388,Positive,27.41,63.44,64.21,62.12,29.07,,,,,,,,
3/8/2011,65.400002,65.839996,65.220001,65.639999,20717600,28.119873,0.006439704,0.002787761,65.52,1359903243,64.69,64.26,0.006439704,Positive,27.48,63.54,64.36,62.23,27.17,,,,,,,,
3/9/2011,65.529999,65.68,65.260002,65.620003,14819200,28.111307,-0.000304624,-0.000132317,65.52,972435948.5,64.75,64.35,-0.000304624,Negative,27.53,63.63,64.50,62.35,29.05,,,,,,,,
3/10/2011,65.25,65.540001,64.970001,65.290001,17761800,27.969935,-0.005029008,-0.002189581,65.26,1159667940,64.81,64.49,-0.005029008,Negative,27.58,63.74,64.65,62.50,26.89,,,,,,,,
3/11/2011,64.919998,65.110001,64.470001,64.809998,12006400,27.965619,-0.000154309,-6.70E-05,64.83,778134760,64.88,64.55,-0.000154309,Negative,27.62,63.83,64.78,62.60,29.05,,,,,,,,
3/14/2011,64.339996,64.610001,63.529999,63.939999,17802600,27.590213,-0.01342384,-0.005869383,64.1,1138298226,64.89,64.57,-0.01342384,Negative,27.64,63.93,64.88,62.74,26.14,,,,,,,,
3/15/2011,62.950001,63.27,62.349998,63.029999,25421200,27.197547,-0.014232076,-0.006225317,62.9,1602298211,64.77,64.51,-0.014232076,Negative,27.64,64.02,64.93,62.45,28.26,,,,,,,,
3/16/2011,62.689999,62.869999,61.290001,61.599998,31957200,26.5805,-0.022687598,-0.00996659,62.11,1968563456,64.44,64.34,-0.022687598,Negative,27.62,64.09,64.92,61.87,24.90,,,,,,,,
3/17/2011,62.43,62.790001,61.91,62.279999,20128800,26.873921,0.011038957,0.00476789,62.35,1253621644,64.32,64.27,0.011038957,Positive,27.60,64.16,64.87,61.66,28.85,,,,,,,,
3/18/2011,62.970001,63.299999,62.450001,62.700001,23653000,27.055152,0.00674375,0.002918942,62.86,1483043124,64.12,64.17,0.00674375,Positive,27.57,64.21,64.81,61.58,25.26,,,,,,,,
3/21/2011,63.130001,63.860001,63.049999,63.57,12545600,27.430558,0.013875583,0.005984664,63.4,797523792,64.07,64.12,0.013875583,Positive,27.56,64.24,64.75,61.59,29.60,,,,,,,,
3/22/2011,63.68,63.77,63.25,63.509998,8418800,27.404668,-0.000943838,-0.000410097,63.55,534677971.2,63.88,64.13,-0.000943838,Negative,27.57,64.27,64.69,61.62,25.21,,,,,,,,
3/23/2011,63.290001,64.529999,63.25,64.269997,12962600,27.732608,0.011966574,0.005166168,63.83,833106263.1,63.78,64.14,0.011966574,Positive,27.59,64.29,64.65,61.70,30.25,,,,,,,,
3/24/2011,64.580002,65.07,64.559998,64.690002,13312800,27.913841,0.006535015,0.002828887,64.73,861205058.6,63.68,64.17,0.006535015,Positive,27.61,64.30,64.64,61.74,25.57,,,,,,,,
3/25/2011,64.870003,65.389999,64.82,65.220001,12419400,28.142537,0.008192925,0.003543645,65.08,809993280.4,63.58,64.2,0.008192925,Positive,27.64,64.31,64.63,61.70,30.71,,,,,,,,
3/28/2011,65.199997,65.489998,65.029999,65.029999,11600200,28.06055,-0.002913277,-0.001267067,65.19,754360994.4,63.52,64.24,-0.002913277,Negative,27.68,64.30,64.63,61.73,25.41,,,,,,,,
3/29/2011,65.199997,65.730003,65.080002,65.720001,11569600,28.358287,0.010610519,0.004583814,65.43,760354123.6,63.5,64.23,0.010610519,Positive,27.70,64.30,64.63,61.76,31.31,,,,,,,,
3/30/2011,65.720001,66.489998,65.610001,66.040001,18826200,28.496368,0.004869159,0.002109517,65.97,1243282267,63.64,64.31,0.004869159,Positive,27.75,64.28,64.59,61.62,25.69,,,,,,,,
3/31/2011,65.959999,66.849998,65.959999,66.339996,17723000,28.625816,0.004542614,0.001968365,66.28,1175743749,63.83,64.31,0.004542614,Positive,27.78,64.27,64.54,61.35,31.57,,,,,,,,
4/1/2011,66.889999,67.480003,66.599998,67.220001,18720200,29.00554,0.013265089,0.00572308,67.05,1258371863,64.23,64.41,0.013265089,Positive,27.83,64.25,64.48,60.96,26.45,,,,,,,,
4/4/2011,67.220001,67.790001,67.160004,67.660004,13485600,29.195402,0.006545715,0.002833504,67.46,912435749.9,64.89,64.48,0.006545715,Positive,27.89,64.25,64.47,60.68,31.94,,,,,,,,
4/5/2011,67.5,67.769997,67.309998,67.470001,12470200,29.113415,-0.002808216,-0.001221308,67.51,841364406.5,65.34,64.52,-0.002808216,Negative,27.94,64.26,64.52,60.80,26.28,,,,,,,,
4/6/2011,67.550003,67.82,67.209999,67.629997,14099800,29.182454,0.002371381,0.001028659,67.55,953569431.7,65.88,64.61,0.002371381,Positive,27.99,64.29,64.61,60.99,32.08,,,,,,,,
4/7/2011,67.43,67.75,66.940002,67.440002,12734600,29.100471,-0.002809325,-0.001221791,67.39,858821449.5,66.15,64.68,-0.002809325,Negative,28.05,64.33,64.70,61.27,26.12,,,,,,,,
4/8/2011,67.389999,67.639999,66.860001,67.269997,11201800,29.027113,-0.002520853,-0.001096175,67.29,753545052.4,66.34,64.77,-0.002520853,Negative,28.10,64.37,64.79,61.56,31.94,,,,,,,,
4/11/2011,67.260002,67.839996,66.800003,67.400002,14664000,29.08321,0.001932572,0.000838496,67.33,988353629.3,66.57,64.94,0.001932572,Positive,28.18,64.43,64.92,61.94,26.23,,,,,,,,
4/12/2011,66.980003,67.129997,66.410004,66.900002,16587400,28.86746,-0.00741837,-0.003233766,66.86,1109697093,66.74,65.2,-0.00741837,Negative,28.26,64.51,65.12,62.56,31.50,,,,,,,,
4/13/2011,67.230003,67.470001,66.970001,67.279999,8497400,29.031429,0.005680063,0.002459841,67.24,571705063.5,66.87,65.66,0.005680063,Positive,28.39,64.61,65.45,62.86,26.56,,,,,,,,
4/14/2011,67.339996,68.470001,67.089996,68.309998,23879600,29.475875,0.015309133,0.006598293,67.8,1631215428,67.15,66.12,0.015309133,Positive,28.52,64.75,65.88,63.19,32.39,,,,,,,,
4/15/2011,68.330002,68.349998,67.870003,68.010002,17532200,29.346427,-0.004391659,-0.001911474,68.14,1192364957,67.31,66.52,-0.004391659,Negative,28.63,64.91,66.34,63.45,26.30,,,,,,,,
4/18/2011,67.57,67.650002,66.639999,67.309998,16104600,29.044373,-0.010292701,-0.004493227,67.29,1084000594,67.43,66.69,-0.010292701,Negative,28.71,65.09,66.74,63.95,31.79,,,,,,,,
