Date,Open,High,Low,Close,Adj Close,Volume
2011-02-01,31.440001,32.375000,31.065001,63.919998,31.959999,315007200
2011-03-01,32.139999,33.424999,30.645000,66.339996,33.169998,431192600
2011-04-01,33.445000,34.235001,32.904999,67.459999,33.730000,303736200
2011-05-01,33.880001,34.384998,33.150002,66.809998,33.404999,278651000
2011-06-01,33.299999,33.744999,32.215000,67.290001,33.645000,349221400
2011-07-01,33.509998,34.910000,33.294998,68.010002,34.005001,325485600
2011-08-01,34.250000,35.384998,31.795000,70.449997,35.224998,647917600
2011-09-01,35.044998,35.884998,33.310001,67.559998,33.779999,517243200
2011-10-01,33.294998,34.544998,31.670000,68.320000,34.160000,406481800
2011-11-01,33.564999,34.410000,32.369999,67.230003,33.615002,338562800
2011-12-01,33.500000,35.145000,32.939999,69.970001,34.985001,309556200
2012-01-01,35.075001,35.355000,33.285000,67.529999,33.764999,300231600
2012-02-01,33.939999,34.990002,33.709999,69.860001,34.930000,287665000
2012-03-01,34.935001,37.195000,34.250000,74.010002,37.005001,410250600
2012-04-01,36.915001,38.910000,35.910000,76.320000,38.160000,292370000
2012-05-01,38.270000,38.869999,36.735001,74.730003,37.365002,335390800
2012-06-01,36.994999,39.095001,36.279999,78.190002,39.095001,279573200
2012-07-01,39.049999,40.665001,38.049999,80.800003,40.400002,289020200
2012-08-01,40.485001,40.625000,37.130001,74.800003,37.400002,308129200
2012-09-01,37.520000,39.000000,37.110001,37.930000,37.930000,469561900
2012-10-01,38.160000,38.830002,36.540001,37.180000,37.180000,293829600
2012-11-01,37.150002,37.980000,35.860001,37.919998,37.919998,261448200
2012-12-01,37.900002,37.990002,35.580002,36.250000,36.250000,269626400
2013-01-01,36.990002,37.869999,36.520000,37.240002,37.240002,302757300
2013-02-01,37.540001,39.060001,36.540001,38.720001,38.720001,324939300
2013-03-01,38.490002,40.700001,38.450001,40.439999,40.439999,288428800
2013-04-01,40.389999,42.959999,39.770000,42.330002,42.330002,317772200
2013-05-01,42.150002,43.430000,39.990002,39.990002,39.990002,288223000
2013-06-01,39.950001,41.730000,38.970001,40.110001,40.110001,305808000
2013-07-01,40.500000,41.250000,39.500000,40.080002,40.080002,260921100
2013-08-01,40.400002,40.750000,37.799999,38.180000,38.180000,296801300
2013-09-01,38.270000,39.669998,37.750000,37.880001,37.880001,300960000
2013-10-01,38.000000,39.959999,36.830002,39.570000,39.570000,378979000
2013-11-01,39.570000,40.880001,39.220001,40.189999,40.189999,267950200
2013-12-01,40.099998,41.389999,38.869999,41.310001,41.310001,301144500
2014-01-01,41.119999,41.230000,37.720001,37.820000,37.820000,289400900
2014-02-01,38.020000,39.020000,36.889999,38.200001,38.200001,385231900
2014-03-01,37.880001,39.029999,37.849998,38.660000,38.660000,349073700
2014-04-01,38.529999,41.279999,38.040001,40.790001,40.790001,382724700
2014-05-01,40.790001,41.220001,40.259998,40.910000,40.910000,213626400
2014-06-01,40.750000,42.490002,40.150002,42.360001,42.360001,281955100
2014-07-01,42.389999,42.570000,39.250000,39.290001,39.290001,282905200
2014-08-01,39.130001,41.750000,39.060001,41.720001,41.720001,247865300
2014-09-01,41.520000,42.810001,41.180000,42.660000,42.660000,314829200
2014-10-01,42.549999,44.869999,40.099998,41.880001,41.880001,529864600
2014-11-01,41.790001,45.000000,41.590000,44.830002,44.830002,254105000
2014-12-01,44.180000,44.770000,39.799999,42.220001,42.220001,326860800
2015-01-01,42.259998,43.830002,41.110001,41.169998,41.169998,293088500
2015-02-01,41.209999,43.660000,40.900002,43.299999,43.299999,291647700
2015-03-01,43.299999,43.299999,39.610001,40.549999,40.549999,370738500
2015-04-01,40.790001,41.610001,40.099998,40.560001,40.560001,284020300
2015-05-01,40.580002,41.689999,40.389999,40.959999,40.959999,230592600
2015-06-01,41.360001,41.410000,39.119999,39.230000,39.230000,288285100
2015-07-01,39.380001,41.599998,39.220001,41.080002,41.080002,268013200
2015-08-01,40.849998,42.250000,36.560001,39.320000,39.320000,342794300
2015-09-01,38.669998,40.230000,37.840000,40.119999,40.119999,347283900
2015-10-01,40.220001,43.849998,39.360001,42.349998,42.349998,366228100
2015-11-01,42.320000,43.599998,41.340000,42.619999,42.619999,252129100
2015-12-01,42.730000,43.910000,41.970001,42.959999,42.959999,286493600
