Date,Open,High,Low,Close,Adj Close,Volume
2011-01-08,31.350000,31.930000,31.280001,63.130001,31.565001,75210800
2011-01-15,31.605000,31.959999,31.360001,62.770000,31.385000,71959000
2011-01-22,31.434999,31.655001,31.070000,62.209999,31.105000,84278400
2011-01-29,31.160000,31.740000,30.945000,62.560001,31.280001,69713000
2011-02-05,31.334999,32.375000,31.160000,63.570000,31.785000,92499600
2011-02-12,31.834999,32.360001,31.275000,64.550003,32.275002,84507600
2011-02-19,31.680000,32.200001,31.665001,64.309998,32.154999,64634800
2011-02-26,32.084999,32.939999,31.930000,65.209999,32.605000,123286600
2011-03-05,32.660000,32.919998,32.235001,64.809998,32.404999,88935000
2011-03-12,32.169998,32.305000,30.645000,62.700001,31.350000,118962800
2011-03-19,31.565001,32.695000,31.525000,65.220001,32.610001,59659200
2011-03-26,32.599998,33.740002,32.514999,67.220001,33.610001,78439200
2011-04-02,33.610001,33.910000,33.430000,67.269997,33.634998,63992000
2011-04-09,33.630001,34.235001,33.205002,68.010002,34.005001,81160600
2011-04-16,33.785000,34.084999,33.320000,67.879997,33.939999,50573000
2011-04-23,33.974998,33.990002,32.904999,67.459999,33.730000,89290400
2011-04-30,33.880001,33.965000,33.200001,66.900002,33.450001,67834400
2011-05-07,33.430000,34.384998,33.415001,68.180000,34.090000,64319800
2011-05-14,34.049999,34.349998,33.750000,68.300003,34.150002,64989800
2011-05-21,33.794998,33.950001,33.150002,66.510002,33.255001,61213000
2011-05-28,33.470001,33.619999,32.605000,65.529999,32.764999,62379000
2011-06-04,32.755001,33.160000,32.535000,65.389999,32.695000,60835600
2011-06-11,32.549999,33.115002,32.320000,65.620003,32.810001,86361200
2011-06-18,32.685001,33.410000,32.215000,64.930000,32.465000,99599600
2011-06-25,32.424999,34.044998,32.424999,68.089996,34.044998,76827000
2011-07-02,34.040001,34.445000,34.040001,68.680000,34.340000,51382200
2011-07-09,33.875000,34.220001,33.639999,67.529999,33.764999,74686600
2011-07-16,33.630001,34.910000,33.294998,69.730003,34.865002,103451000
2011-07-23,34.560001,34.779999,33.950001,68.010002,34.005001,79478800
2011-07-30,34.250000,34.279999,32.520000,66.769997,33.384998,140109200
2011-08-06,33.090000,33.875000,31.795000,67.139999,33.570000,190179400
2011-08-13,33.735001,34.674999,33.430000,67.099998,33.549999,137718600
2011-08-20,34.005001,34.855000,33.349998,68.500000,34.250000,108249000
2011-08-27,34.480000,35.549999,34.435001,69.739998,34.869999,112721400
2011-09-03,33.715000,35.884998,33.695000,69.370003,34.685001,104830800
2011-09-10,34.224998,35.840000,34.099998,71.230003,35.615002,128622600
2011-09-17,35.035000,35.740002,33.310001,67.419998,33.709999,131041000
2011-09-24,34.005001,35.205002,33.779999,67.559998,33.779999,111688800
2011-10-01,33.294998,33.459999,31.670000,65.900002,32.950001,136372200
2011-10-08,33.279999,34.099998,33.005001,67.849998,33.924999,67477400
2011-10-15,33.910000,34.160000,33.200001,68.190002,34.095001,95743000
2011-10-22,34.200001,34.544998,33.205002,68.930000,34.465000,87890600
2011-10-29,34.325001,34.525002,33.389999,67.779999,33.889999,89760600
2011-11-05,33.830002,34.360001,33.430000,68.120003,34.060001,71904800
2011-11-12,33.895000,34.224998,33.049999,67.389999,33.695000,75583200
2011-11-19,33.345001,33.439999,32.369999,64.739998,32.369999,52038000
2011-11-26,32.630001,33.980000,32.375000,66.379997,33.189999,104874200
2011-12-03,33.470001,33.875000,32.939999,67.570000,33.785000,85935200
2011-12-10,33.630001,33.860001,33.035000,67.440002,33.720001,80850400
2011-12-17,33.730000,34.985001,33.610001,69.940002,34.970001,71265400
2011-12-24,34.904999,35.145000,34.700001,69.970001,34.985001,34905800
2011-12-31,35.075001,35.355000,34.310001,68.930000,34.465000,57813000
2012-01-07,34.500000,34.759998,33.285000,66.989998,33.494999,82144600
2012-01-14,33.869999,34.060001,33.590000,68.089996,34.044998,61562600
2012-01-21,34.000000,34.310001,33.615002,67.440002,33.720001,74576400
2012-01-28,33.645000,34.244999,33.514999,68.080002,34.040001,68755800
2012-02-04,33.919998,34.724998,33.709999,67.940002,33.970001,82590400
2012-02-11,34.209999,34.625000,34.044998,69.050003,34.525002,65057600
2012-02-18,34.439999,34.750000,34.250000,69.000000,34.500000,50796600
2012-02-25,34.345001,34.990002,34.259998,69.180000,34.590000,71889600
2012-03-03,34.509998,34.869999,34.250000,69.510002,34.755001,104931000
2012-03-10,34.740002,35.310001,34.669998,70.160004,35.080002,90019800
2012-03-17,35.105000,35.799999,34.965000,71.489998,35.744999,71163000
2012-03-24,35.869999,37.195000,35.794998,74.010002,37.005001,116846800
2012-03-31,36.915001,37.099998,36.535000,73.470001,36.735001,51587000
2012-04-07,36.480000,36.555000,35.910000,71.940002,35.970001,60290200
2012-04-14,36.110001,37.240002,36.070000,74.129997,37.064999,72734000
2012-04-21,36.990002,38.910000,36.665001,76.629997,38.314999,81241200
2012-04-28,38.209999,38.820000,37.965000,77.000000,38.500000,85690000
2012-05-05,38.485001,38.869999,38.244999,77.470001,38.735001,56861000
2012-05-12,38.560001,38.625000,36.735001,74.050003,37.025002,103837800
2012-05-19,37.105000,37.924999,36.910000,75.230003,37.615002,75953600
2012-05-26,37.865002,37.865002,36.505001,73.089996,36.544998,60409400
2012-06-02,36.514999,37.685001,36.279999,75.239998,37.619999,64105800
2012-06-09,37.860001,38.099998,37.169998,76.089996,38.044998,65638800
2012-06-16,37.980000,38.209999,37.310001,74.940002,37.470001,64336200
2012-06-23,37.230000,39.095001,37.084999,78.190002,39.095001,64649000
2012-06-30,39.049999,39.680000,38.919998,78.150002,39.075001,41267600
2012-07-07,39.029999,39.270000,38.169998,77.279999,38.639999,66256000
2012-07-14,38.549999,39.330002,38.099998,77.029999,38.514999,87123600
2012-07-21,38.275002,40.119999,38.049999,80.010002,40.005001,62091600
2012-07-28,39.884998,40.665001,39.759998,80.830002,40.415001,70463400
2012-08-04,40.505001,40.625000,39.305000,78.790001,39.395000,80913400
2012-08-11,39.310001,39.730000,39.049999,79.059998,39.529999,46797000
2012-08-18,39.540001,39.689999,38.020000,38.470001,38.470001,55311100
2012-08-25,38.560001,38.560001,37.130001,37.400002,37.400002,86925700
2012-09-01,37.520000,38.500000,37.110001,37.900002,37.900002,74375700
2012-09-08,37.959999,38.549999,37.509998,38.119999,38.119999,98244900
2012-09-15,38.160000,39.000000,37.880001,38.029999,38.029999,200165400
2012-09-22,37.810001,38.349998,37.660000,37.930000,37.930000,96775900
2012-09-29,38.160000,38.689999,38.110001,38.580002,38.580002,62526900
2012-10-06,38.540001,38.830002,38.020000,38.230000,38.230000,59171300
2012-10-13,38.090000,38.250000,37.400002,37.400002,37.400002,97974300
2012-10-20,37.369999,37.480000,36.540001,37.040001,37.040001,62513600
2012-10-27,37.160000,37.650002,36.919998,37.080002,37.080002,33503300
2012-11-03,36.950001,37.480000,36.049999,36.290001,36.290001,64775000
2012-11-10,36.290001,36.650002,35.860001,36.560001,36.560001,69051600
2012-11-17,36.849998,37.950001,36.810001,37.930000,37.930000,40351600
2012-11-24,37.580002,37.980000,36.799999,37.919998,37.919998,65410200
2012-12-01,37.900002,37.939999,37.080002,37.709999,37.709999,58849900
2012-12-08,37.700001,37.990002,37.500000,37.660000,37.660000,57199200
2012-12-15,37.790001,37.820000,36.529999,36.889999,36.889999,97658000
2012-12-22,36.720001,36.799999,35.950001,35.970001,35.970001,40267900
2012-12-29,35.880001,37.869999,35.580002,37.660000,37.660000,69193000
2013-01-05,37.520000,37.520000,36.520000,36.910000,36.910000,70746700
2013-01-12,36.950001,37.709999,36.799999,37.700001,37.700001,59069000
2013-01-19,37.740002,37.740002,36.910000,37.049999,37.049999,62119200
2013-01-26,37.070000,37.709999,36.860001,37.540001,37.540001,69213400
2013-02-02,37.480000,39.060001,37.299999,38.770000,38.770000,75290600
2013-02-09,38.709999,38.830002,36.540001,37.419998,37.419998,110757100
2013-02-16,37.509998,38.520000,37.410000,38.520000,38.520000,62037800
2013-02-23,38.560001,38.970001,37.720001,38.700001,38.700001,78645700
2013-03-02,38.599998,39.419998,38.450001,39.220001,39.220001,61107400
2013-03-09,39.200001,39.380001,38.549999,38.830002,38.830002,70289000
2013-03-16,38.610001,40.430000,38.570000,40.040001,40.040001,85135900
2013-03-23,40.110001,40.700001,39.959999,40.439999,40.439999,58172000
2013-03-30,40.389999,40.900002,40.009998,40.080002,40.080002,57364300
2013-04-06,40.060001,41.410000,39.770000,41.080002,41.080002,74874900
2013-04-13,40.849998,42.770000,40.049999,42.660000,42.660000,102304300
2013-04-20,42.520000,42.959999,42.080002,42.099998,42.099998,58485400
2013-04-27,42.240002,42.560001,41.490002,42.240002,42.240002,63921300
2013-05-04,42.290001,42.709999,41.849998,42.150002,42.150002,55818400
2013-05-11,42.139999,43.430000,42.000000,42.970001,42.970001,59562300
2013-05-18,42.950001,42.950001,41.500000,42.240002,42.240002,55206700
2013-05-25,42.599998,43.049999,39.990002,39.990002,39.990002,78457600
2013-06-01,39.950001,41.730000,39.630001,41.410000,41.410000,77878700
2013-06-08,41.500000,41.520000,39.680000,40.340000,40.340000,70846400
2013-06-15,40.540001,41.439999,38.970001,39.759998,39.759998,86076400
2013-06-22,39.450001,40.880001,39.130001,40.110001,40.110001,71006500
2013-06-29,40.500000,40.919998,40.029999,40.520000,40.520000,38669600
2013-07-06,40.650002,41.150002,40.419998,41.029999,41.029999,52412100
2013-07-13,41.049999,41.250000,39.500000,41.090000,41.090000,84617000
2013-07-20,41.080002,41.139999,40.009998,40.639999,40.639999,50763900
2013-07-27,40.610001,40.750000,39.910000,40.220001,40.220001,71976200
2013-08-03,40.180000,40.470001,40.020000,40.160000,40.160000,46383300
2013-08-10,40.040001,40.099998,38.709999,39.049999,39.049999,76098800
2013-08-17,39.049999,39.139999,38.099998,38.520000,38.520000,59560900
2013-08-24,38.599998,38.599998,37.799999,38.180000,38.180000,77240600
2013-08-31,38.270000,38.730000,37.799999,38.349998,38.349998,66474500
2013-09-07,38.520000,38.779999,38.270000,38.689999,38.689999,58097000
2013-09-14,39.029999,39.669998,38.580002,39.400002,39.400002,89190700
2013-09-21,39.160000,39.189999,38.150002,38.400002,38.400002,69096300
2013-09-28,38.189999,38.299999,36.910000,37.200001,37.200001,88617100
2013-10-05,37.080002,37.919998,36.830002,37.770000,37.770000,87620100
2013-10-12,37.560001,38.779999,37.509998,38.779999,38.779999,88671400
2013-10-19,38.950001,39.369999,38.599998,39.029999,39.029999,74206700
2013-10-26,39.020000,39.959999,38.990002,39.610001,39.610001,70395600
2013-11-02,39.709999,40.250000,39.220001,40.049999,40.049999,66161900
2013-11-09,40.009998,40.439999,39.619999,40.220001,40.220001,54756200
2013-11-16,40.240002,40.490002,39.919998,40.430000,40.430000,87752000
2013-11-23,40.480000,40.880001,39.689999,40.189999,40.189999,46849700
2013-11-30,40.099998,40.500000,39.750000,40.459999,40.459999,77255500
2013-12-07,40.400002,40.500000,39.180000,39.230000,39.230000,77023500
2013-12-14,39.459999,40.189999,38.869999,40.040001,40.040001,93131300
2013-12-21,40.099998,40.790001,39.869999,40.660000,40.660000,31077500
2013-12-28,40.770000,41.389999,40.349998,40.459999,40.459999,45758700
2014-01-04,40.480000,40.720001,39.520000,40.130001,40.130001,65608400
2014-01-11,40.000000,40.130001,39.279999,39.279999,39.279999,64793700
2014-01-18,39.639999,40.090000,38.820000,38.840000,38.840000,58756300
2014-01-25,38.820000,39.080002,37.720001,37.820000,37.820000,77140500
2014-02-01,38.020000,38.939999,37.099998,37.950001,37.950001,97640300
2014-02-08,38.070000,39.020000,37.840000,38.930000,38.930000,73337600
2014-02-15,37.980000,38.110001,36.889999,37.180000,37.180000,114803300
2014-02-22,37.299999,38.389999,37.220001,38.200001,38.200001,99450700
2014-03-01,37.880001,38.610001,37.849998,38.549999,38.549999,85223600
2014-03-08,38.549999,38.840000,37.880001,38.169998,38.169998,77016600
2014-03-15,38.169998,38.830002,37.950001,38.439999,38.439999,89382700
2014-03-22,38.480000,39.029999,38.209999,38.950001,38.950001,72961000
2014-03-29,38.990002,39.029999,38.040001,38.220001,38.220001,94282200
2014-04-05,38.270000,39.400002,38.259998,38.630001,38.630001,83206900
2014-04-12,38.709999,40.720001,38.400002,40.720001,40.720001,107386000
2014-04-19,40.470001,41.009998,40.349998,41.009998,41.009998,70312300
2014-04-26,40.820000,41.279999,40.259998,40.950001,40.950001,81609900
2014-05-03,40.650002,40.970001,40.450001,40.869999,40.869999,47694100
2014-05-10,40.880001,41.220001,40.439999,40.889999,40.889999,56724800
2014-05-17,40.599998,40.930000,40.419998,40.580002,40.580002,40491900
2014-05-24,40.560001,40.919998,40.480000,40.910000,40.910000,39132800
2014-05-31,40.750000,41.060001,40.630001,40.990002,40.990002,44722200
2014-06-07,40.849998,41.150002,40.250000,40.369999,40.369999,46911800
2014-06-14,40.189999,41.880001,40.150002,41.689999,41.689999,95000800
2014-06-21,41.459999,42.290001,41.330002,42.189999,42.189999,81261600
2014-06-28,41.980000,42.490002,41.820000,42.230000,42.230000,39801100
2014-07-05,41.959999,42.290001,41.549999,41.970001,41.970001,51311500
2014-07-12,41.990002,42.470001,41.830002,42.430000,42.430000,61986900
2014-07-19,42.119999,42.570000,40.610001,41.000000,41.000000,85510800
2014-07-26,40.990002,41.000000,39.060001,39.290001,39.290001,71920300
2014-08-02,39.410000,40.009998,39.099998,39.450001,39.450001,68254000
2014-08-09,39.520000,41.150002,39.520000,40.880001,40.880001,67162600
2014-08-16,40.790001,41.689999,40.790001,41.119999,41.119999,55130000
2014-08-23,41.320000,41.750000,41.119999,41.720001,41.720001,43752000
2014-08-30,41.520000,42.169998,41.310001,41.840000,41.840000,47986900
2014-09-06,41.669998,42.189999,41.360001,41.459999,41.459999,71129000
2014-09-13,41.450001,42.349998,41.180000,42.049999,42.049999,104332300
2014-09-20,41.849998,42.340000,41.709999,42.200001,42.200001,56326200
2014-09-27,41.900002,43.070000,41.880001,43.000000,43.000000,96154000
2014-10-04,43.029999,44.869999,42.970001,44.470001,44.470001,122330400
2014-10-11,44.279999,44.630001,42.310001,42.880001,42.880001,109946400
2014-10-18,42.750000,43.470001,40.099998,41.029999,41.029999,138072300
2014-10-25,40.700001,41.889999,40.509998,41.880001,41.880001,98416300
2014-11-01,41.790001,42.619999,41.590000,42.320000,42.320000,67345300
2014-11-08,42.250000,43.080002,42.090000,42.730000,42.730000,53368600
2014-11-15,42.750000,44.740002,42.730000,44.500000,44.500000,90057400
2014-11-22,44.509998,45.000000,43.970001,44.830002,44.830002,43333700
2014-11-29,44.180000,44.770000,43.200001,43.529999,43.529999,61506900
2014-12-06,43.509998,43.630001,40.869999,40.910000,40.910000,91474900
2014-12-13,41.130001,42.790001,39.799999,41.950001,41.950001,109118000
2014-12-20,42.139999,43.299999,42.090000,42.959999,42.959999,37475000
2014-12-27,42.799999,43.060001,41.799999,42.139999,42.139999,37207100
2015-01-03,42.689999,43.570000,42.080002,43.029999,43.029999,91079500
2015-01-10,43.070000,43.240002,42.070000,42.529999,42.529999,63697200
2015-01-17,42.700001,43.830002,42.610001,43.310001,43.310001,54834700
2015-01-24,43.180000,43.230000,41.110001,41.169998,41.169998,73556000
2015-01-31,41.209999,42.090000,40.900002,41.450001,41.450001,68235500
2015-02-07,41.380001,43.029999,41.040001,41.990002,41.990002,90661900
2015-02-14,41.810001,42.240002,41.470001,41.970001,41.970001,55154700
2015-02-21,41.709999,43.660000,41.689999,43.299999,43.299999,77595600
2015-02-28,43.299999,43.299999,41.330002,41.520000,41.520000,67217400
2015-03-07,41.529999,41.549999,39.610001,39.910000,39.910000,78439200
2015-03-14,40.000000,40.790001,39.799999,40.650002,40.650002,110814200
2015-03-21,40.639999,40.990002,39.970001,40.080002,40.080002,85101500
2015-03-28,40.110001,40.900002,39.939999,40.680000,40.680000,57810000
2015-04-04,40.770000,41.610001,40.590000,40.880001,40.880001,60002400
2015-04-11,40.970001,40.970001,40.099998,40.299999,40.299999,60466400
2015-04-18,40.419998,41.570000,40.410000,40.889999,40.889999,88616100
2015-04-25,41.000000,41.150002,40.279999,40.910000,40.910000,57139900
2015-05-02,40.880001,41.169998,40.389999,40.980000,40.980000,58812100
2015-05-09,40.980000,41.689999,40.520000,41.520000,41.520000,54121700
2015-05-16,41.490002,41.590000,41.040001,41.209999,41.209999,52729300
2015-05-23,41.119999,41.299999,40.740002,40.959999,40.959999,54081200
2015-05-30,41.360001,41.410000,40.080002,40.099998,40.099998,58832700
2015-06-06,40.099998,40.540001,39.840000,39.959999,39.959999,64605400
2015-06-13,39.830002,40.740002,39.570000,40.400002,40.400002,77645800
2015-06-20,40.509998,40.810001,40.000000,40.000000,40.000000,57079100
2015-06-27,39.799999,39.980000,39.119999,39.490002,39.490002,50275400
2015-07-04,39.320000,40.580002,39.220001,40.389999,40.389999,68636900
2015-07-11,40.560001,41.599998,40.490002,41.250000,41.250000,60729300
2015-07-18,41.349998,41.590000,40.410000,40.439999,40.439999,63641300
2015-07-25,40.279999,41.220001,40.160000,41.080002,41.080002,54852400
2015-08-01,40.849998,42.250000,40.840000,41.770000,41.770000,69827300
2015-08-08,41.889999,41.990002,40.849998,41.250000,41.250000,50534700
2015-08-15,41.029999,41.529999,39.509998,39.529999,39.529999,77431200
2015-08-22,37.990002,39.470001,36.560001,39.450001,39.450001,132327800
2015-08-29,39.150002,39.450001,38.380001,38.520000,38.520000,79193400
2015-09-05,38.869999,39.209999,37.840000,38.130001,38.130001,55793300
2015-09-12,38.220001,39.610001,37.849998,38.980000,38.980000,92963000
2015-09-19,39.049999,40.080002,38.509998,39.619999,39.619999,78764900
2015-09-26,39.520000,40.470001,39.330002,40.389999,40.389999,88386500
2015-10-03,40.450001,42.119999,40.430000,42.020000,42.020000,70464500
2015-10-10,41.830002,42.290001,41.540001,42.020000,42.020000,71568500
2015-10-17,41.900002,43.849998,41.709999,42.790001,42.790001,105645100
2015-10-24,42.759998,42.900002,42.209999,42.349998,42.349998,83406100
2015-10-31,42.320000,42.389999,41.610001,41.959999,41.959999,57985600
2015-11-07,41.700001,42.200001,41.340000,41.380001,41.380001,50571500
2015-11-14,41.430000,43.580002,41.389999,42.430000,42.430000,80822100
2015-11-21,42.549999,43.599998,42.529999,43.150002,43.150002,46686900
2015-11-28,43.119999,43.480000,42.320000,43.290001,43.290001,71306900
2015-12-05,43.310001,43.439999,42.139999,42.270000,42.270000,68506800
2015-12-12,42.310001,43.910000,41.970001,42.500000,42.500000,99158600
2015-12-19,42.820000,43.730000,42.459999,43.540001,43.540001,34854100
2015-12-26,43.439999,43.779999,42.869999,42.959999,42.959999,28730200
