Date,Open,High,Low,Close,Volume,Adj Close,Daily Ret,Log Ret,Avg. OHLC,VolumeXClose,13-VWAP,20-VWAP,Change in ROI for Adj Close,Positive/Negative,SMA-20,SMA,BB-Upper,BB-Lower,EMA,,,,,,,Variable Name,Value
1/3/2011,65.910004,66.089996,65.599998,65.75,6787300,56.355646,#VALUE!,#VALUE!,65.84,446264975,65.75,65.75,,,,#REF!,#REF!,#REF!,56.36,,,,,,,PERIOD,14.00
1/4/2011,66.099998,66.190002,65.120003,65.410004,7897100,56.064229,-0.005171035,-0.002251578,65.71,516549342.6,65.57,65.57,-0.005171035,Negative,,#REF!,#REF!,#REF!,55.77,,,,,,,Std devs,2.00
1/5/2011,65.709999,66.879997,65.559998,66.589996,10381900,57.075624,0.018039934,0.007764814,66.18,691330679.5,65.99,65.99,0.018039934,Positive,,#REF!,#REF!,#REF!,58.38,,,,,,,,
1/6/2011,66.709999,66.949997,66.379997,66.839996,7648900,57.289904,0.003754317,0.001627426,66.72,511252445.4,66.19,66.19,0.003754317,Positive,,#REF!,#REF!,#REF!,56.20,,,,,,,,
1/7/2011,66.82,66.82,66.25,66.389999,4899100,56.904203,-0.006732443,-0.00293375,66.57,325251244.1,66.22,66.22,-0.006732443,Negative,,#REF!,#REF!,#REF!,57.61,,,,,,,,
1/10/2011,66.129997,66.32,65.839996,66.050003,5220500,56.612785,-0.005121203,-0.002229825,66.08,344814040.7,66.2,66.2,-0.005121203,Negative,,#REF!,#REF!,#REF!,55.62,,,,,,,,
1/11/2011,66.339996,66.75,66.010002,66.330002,4686400,56.852778,0.004239201,0.00183717,66.36,310848921.4,66.21,66.21,0.004239201,Positive,,#REF!,#REF!,#REF!,58.09,,,,,,,,
1/12/2011,66.709999,67.07,66.550003,66.730003,5265100,57.195627,0.00603047,0.002611135,66.77,351340138.8,66.26,66.26,0.00603047,Positive,,#REF!,#REF!,#REF!,56.30,,,,,,,,
1/13/2011,66.699997,67.459999,66.650002,66.910004,7943000,57.349909,0.002697444,0.001169908,66.93,531466161.8,66.35,66.35,0.002697444,Positive,,#REF!,#REF!,#REF!,58.40,,,,,,,,
1/14/2011,67.150002,67.160004,66.57,66.779999,5986100,57.238479,-0.001942985,-0.000844648,66.92,399751752,66.38,66.38,-0.001942985,Negative,,#REF!,#REF!,#REF!,56.08,,,,,,,,
